book_title,image_path
3,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\3.jpg
300,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\300.jpg
300dpi,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\300dpi.jpg
3035,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\3035.jpg
32c-that-s-me,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\32c-that-s-me.jpg
37a6fc4c-c3f0-40dc-8ea0-fc30d4e01400-img100,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\37a6fc4c-c3f0-40dc-8ea0-fc30d4e01400-img100.jpg
40-inspiring-icons-music-legends,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\40-inspiring-icons-music-legends.jpg
450-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\450-1-.jpg
5,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\5.jpg
50-things-you-should-know-about-ww1,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\50-things-you-should-know-about-ww1.jpg
507e563f-e9d1-4410-b0c3-037d36410569-img100-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\507e563f-e9d1-4410-b0c3-037d36410569-img100-1-.jpg
515997-l-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\515997-l-1-.jpg
56c31810-b666-4fa9-a111-68d8d2758e63-img100,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\56c31810-b666-4fa9-a111-68d8d2758e63-img100.jpg
6,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\6.jpg
63ee9140-4fe2-4aa2-8451-2dec4bbd6792-img100,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\63ee9140-4fe2-4aa2-8451-2dec4bbd6792-img100.jpg
648707d7-f3ef-4fc3-a53e-3fe7c750b6c1-img100,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\648707d7-f3ef-4fc3-a53e-3fe7c750b6c1-img100.jpg
64ffe2c3-7a6c-45d5-ab4b-c0e995535b31-img100,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\64ffe2c3-7a6c-45d5-ab4b-c0e995535b31-img100.jpg
661416-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\661416-1-.jpg
7469e91b-b9b6-4c9e-ab28-ba69bbd6cbc9-img100,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\7469e91b-b9b6-4c9e-ab28-ba69bbd6cbc9-img100.jpg
7cf2f45e-ae54-4201-8827-9f66e5ddbf91-img100,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\7cf2f45e-ae54-4201-8827-9f66e5ddbf91-img100.jpg
7days,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\7days.jpg
9-gods-and-warriors-the-outsiders,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9-gods-and-warriors-the-outsiders.jpg
9780007149698,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007149698.jpg
9780007171323,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007171323.jpg
9780007229659-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007229659-1-.jpg
9780007258680-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007258680-1-.jpg
9780007261963-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007261963-1-.jpg
9780007263899-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007263899-1-.jpg
9780007263905-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007263905-1-.jpg
9780007283613-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007283613-1-.jpg
9780007284542-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007284542-1-.jpg
9780007332007-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007332007-1-.jpg
9780007347025,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007347025.jpg
9780007361427-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007361427-1-.jpg
9780007364008-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007364008-1-.jpg
9780007371440-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007371440-1-.jpg
9780007388110-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007388110-1-.jpg
9780007424849-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007424849-1-.jpg
9780007425082-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007425082-1-.jpg
9780007425143-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007425143-1-.jpg
9780007430017-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007430017-1-.jpg
9780007438785-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007438785-1-.jpg
9780007448029-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007448029-1-.jpg
9780007453566-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007453566-1-.jpg
9780007458424-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007458424-1-.jpg
9780007464388-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007464388-1-.jpg
9780007468393-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007468393-1-.jpg
9780007487516-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007487516-1-.jpg
9780007489442-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007489442-1-.jpg
9780007493999-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007493999-1-.jpg
9780007494019,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007494019.jpg
9780007533039-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007533039-1-.jpg
9780007586776,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007586776.jpg
9780007594153,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780007594153.jpg
9780008101343,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780008101343.jpg
9780008140816,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780008140816.jpg
9780008149390,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780008149390.jpg
9780008157302,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780008157302.jpg
9780008171179,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780008171179.jpg
9780008182519,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780008182519.jpg
9780008215774,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780008215774.jpg
9780091798666-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780091798666-1-.jpg
9780091893323-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780091893323-1-.jpg
9780099438632-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780099438632-1-.jpg
9780099572855-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780099572855-1-.jpg
9780099573661-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780099573661-1-.jpg
9780099582571-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780099582571-1-.jpg
9780140383911-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140383911-1-.jpg
9780140384215-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140384215-1-.jpg
9780140501193-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140501193-1-.jpg
9780140501872-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140501872-1-.jpg
9780140504958-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140504958-1-.jpg
9780140544596-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140544596-1-.jpg
9780140545142-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140545142-1-.jpg
9780140555264-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140555264-1-.jpg
9780140563542,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140563542.jpg
9780140568707-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780140568707-1-.jpg
9780141317083-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141317083-1-.jpg
9780141318011-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141318011-1-.jpg
9780141318233-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141318233-1-.jpg
9780141319117-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141319117-1-.jpg
9780141320588-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141320588-1-.jpg
9780141323251-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141323251-1-.jpg
9780141326115-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141326115-1-.jpg
9780141326122-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141326122-1-.jpg
9780141328034-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141328034-1-.jpg
9780141328805-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141328805-1-.jpg
9780141330693-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141330693-1-.jpg
9780141332048-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141332048-1-.jpg
9780141332192-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141332192-1-.jpg
9780141332888-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141332888-1-.jpg
9780141333908-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141333908-1-.jpg
9780141335643-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141335643-1-.jpg
9780141336251-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141336251-1-.jpg
9780141339108-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141339108-1-.jpg
9780141339115-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141339115-1-.jpg
9780141339122-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141339122-1-.jpg
9780141339139-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141339139-1-.jpg
9780141339146-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141339146-1-.jpg
9780141339726-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141339726-1-.jpg
9780141339801-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141339801-1-.jpg
9780141340012-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141340012-1-.jpg
9780141340135-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141340135-1-.jpg
9780141340265-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141340265-1-.jpg
9780141340760-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141340760-1-.jpg
9780141341422-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141341422-1-.jpg
9780141341552-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141341552-1-.jpg
9780141345659-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141345659-1-.jpg
9780141345833-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141345833-1-.jpg
9780141348940-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141348940-1-.jpg
9780141354156,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141354156.jpg
9780141356099,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141356099.jpg
9780141356686,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141356686.jpg
9780141357058,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141357058.jpg
9780141359205,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141359205.jpg
9780141360027,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141360027.jpg
9780141383996-1-,C:\Users\HP USER\.cache\kagglehub\datasets\thomaskonstantin\6000-children-and-teen-book-covers\versions\1\BookCovers\9780141383996-1-.jpg
